estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;685.063117732235;666.191686682053;703.934548782418;934;540;193;92;2980
chao2;742.372284432448;679.605567893674;833.35894065199;934;540;193;92;2980
chao2_corrected;739.158952154146;649.062626333175;903.683596816814;934;540;193;92;2980
chao_lower;742.440217391304;567.521342957069;2029.10035681643;934;540;193;92;2980
chao_upperbound;0.0;624.262323367895;906.761840463915;934;540;193;92;2980
jack_our;1246.98379975714;946.438980741214;1547.52861877307;934;540;193;92;2980
species_chaobunge;853.0;735.0;1027.0;934;540;193;92;2980
species_jackknife;1248.0;947.0;1549.0;934;540;193;92;2980
zelterman;878.678455243625;740.338680922195;1017.01822956505;934;540;193;92;2980
