estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;821.009099595253;751.345300698224;890.672898492282;1103;614;317;116;49
chao2;1038.30260380014;928.544788803491;1186.35950490998;1103;614;317;116;49
chao2_corrected;1033.34903192046;873.798183320636;1290.88545133356;1103;614;317;116;49
chao_lower;1047.14224137931;673.627907321684;3760.38245234656;1103;614;317;116;49
chao_upperbound;0.0;802.946618808315;1095.37544415881;1103;614;317;116;49
jack_our;1358.78797838516;1168.99356160296;1548.58239516735;1103;614;317;116;49
species_chaobunge;3351.0;1486.0;9149.0;1103;614;317;116;49
species_jackknife;1381.0;1176.0;1586.0;1103;614;317;116;49
zelterman;1183.07371240917;1000.47049800648;1365.67692681186;1103;614;317;116;49
