estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;1050.67369328441;917.6896129593;1183.65777360952;1023;1023;27;2;46
chao2;1201.28804347826;1067.40050890986;1738.906804398;1023;1023;27;2;46
chao2_corrected;1137.45652173913;1047.66088491011;1554.21757051192;1023;1023;27;2;46
chao_lower;1205.25;1037.65735087057;3289.10270800633;1023;1023;27;2;46
chao_upperbound;0.0;1023.0;1023.0;1023;1023;27;2;46
jack_our;1097.61204435661;1062.8658399377;1132.35824877552;1023;1023;27;2;46
species_chaobunge;1024.0;1022.0;1027.0;1023;1023;27;2;46
species_jackknife;1101.0;1065.0;1137.0;1023;1023;27;2;46
zelterman;7429.37501215057;-2479.8351030779;17338.585127379;1023;1023;27;2;46
