estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;725.991639425853;709.826209922487;742.157068929219;1103;614;134;92;16724
chao2;711.581121377245;677.034330577931;765.061733533732;1103;614;134;92;16724
chao2_corrected;709.81147497769;660.976389342816;809.413884843502;1103;614;134;92;16724
chao_lower;711.586956521739;627.084343026827;1341.83280472319;1103;614;134;92;16724
chao_upperbound;0.0;653.001712628337;857.617838206668;1103;614;134;92;16724
jack_our;789.992465588292;734.421598025205;845.563333151379;1103;614;134;92;16724
species_chaobunge;753.0;700.0;817.0;1103;614;134;92;16724
species_jackknife;790.0;734.0;846.0;1103;614;134;92;16724
zelterman;822.29766098513;715.503080869126;929.092241101134;1103;614;134;92;16724
