estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;729.053745605608;705.426336553588;752.681154657628;1058;566;222;101;8753
chao2;809.952324125364;738.262155818476;911.477717745961;1058;566;222;101;8753
chao2_corrected;806.472523706158;702.838744508255;988.592554947918;1058;566;222;101;8753
chao_lower;809.980198019802;599.313307259219;2352.86362667605;1058;566;222;101;8753
chao_upperbound;0.0;672.205709226128;1017.66187730755;1058;566;222;101;8753
jack_our;1543.43802408683;1222.59335835104;1864.28268982262;1058;566;222;101;8753
species_chaobunge;1061.0;828.0;1444.0;1058;566;222;101;8753
species_jackknife;1544.0;1223.0;1865.0;1058;566;222;101;8753
zelterman;947.376244262075;802.039346690832;1092.71314183332;1058;566;222;101;8753
